loc_rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbeccen,st_dist,st_teff,st_rad,pl_eqt,pl_rade,pl_disc
144,GJ 674,b,Radial Velocity,1,4.6938,0.2,4.54,3600,,,,2007
145,GJ 676 A,b,Radial Velocity,4,1051.1,0.323,16.9,,,,,2010
146,GJ 676 A,c,Radial Velocity,4,7337,,16.9,,,,,2016
147,GJ 676 A,d,Radial Velocity,4,3.6005,0.262,16.9,,,,,2012
148,GJ 676 A,e,Radial Velocity,4,35.39,0.125,16.9,,,,,2012
149,GJ 687,b,Radial Velocity,1,38.14,0.04,4.53,3413,0.42,,,2014
150,GJ 832,b,Radial Velocity,2,3657,0.08,4.94,3472,,,,2008
151,GJ 832,c,Radial Velocity,2,35.68,0.18,4.94,3472,,,,2014
152,GJ 849,b,Radial Velocity,1,1845,0.05,8.77,,,,,2006
153,GJ 86,b,Radial Velocity,1,15.76491,0.0416,10.91,5151,,,,1999
154,GJ 876,b,Radial Velocity,4,61.1166,0.0324,4.7,,0.3,,,1998
155,GJ 876,c,Radial Velocity,4,30.0881,0.25591,4.7,,0.3,,,2000
156,GJ 876,d,Radial Velocity,4,1.93778,0.207,4.7,,0.3,,,2005
157,GJ 876,e,Radial Velocity,4,124.26,0.055,4.7,,0.3,,,2010
158,GJ 9827,b,Transit,3,1.208957,,30.3,4255,0.65,1044,1.75,2017
159,GJ 9827,c,Transit,3,3.64802,,30.3,4255,0.65,722,1.36,2017
160,GJ 9827,d,Transit,3,6.20141,,30.3,4255,0.65,605,2.1,2017
161,GQ Lup,b,Imaging,1,,,139,,,2650,33.6,2004
162,GSC 06214-00210,b,Imaging,1,,,145,4200,,2300,,2010
163,GU Psc,b,Imaging,1,,,48,,,1050,14.179,2014
164,HAT-P-1,b,Transit,1,4.46529976,,139,5980,1.17,1322,14.785,2006
165,HAT-P-11,b,Transit,1,4.8878162,0.198,38,4780,0.75,878,4.73,2008
166,HAT-P-12,b,Transit,1,3.2130598,0,142.5,4650,0.7,963,10.749,2009
167,HAT-P-13,b,Transit,2,2.91625,0.0133,214,5653,1.56,,14.258,2009
168,HAT-P-13,c,Radial Velocity,2,446.27,0.6616,214,5653,1.56,,,2009
169,HAT-P-14,b,Transit,1,4.627669,0.107,205,6600,1.47,1570,12.89,2010
170,HAT-P-15,b,Transit,1,10.863502,0.19,190,5568,1.08,904,12.016,2010
171,HAT-P-16,b,Transit,1,2.77596,0.036,235,6158,1.24,1626,14.448,2010
172,HAT-P-17,b,Transit,2,10.338523,0.342,90,5246,0.84,792,11.321,2010
173,HAT-P-17,c,Radial Velocity,2,5584,0.39,90,5246,0.84,,,2010
174,HAT-P-18,b,Transit,1,5.508023,0.084,166,4803,0.75,852,11.153,2010
175,HAT-P-19,b,Transit,1,4.008778,0.067,215,4990,0.82,1010,12.689,2010
176,HAT-P-2,b,Transit,1,5.6334729,0.5171,135.32,6290,1.64,1540,12.969,2007
177,HAT-P-20,b,Transit,1,2.875317,0.015,70,4595,0.69,970,9.718,2010
178,HAT-P-21,b,Transit,1,4.124481,0.228,254,5588,1.1,1283,11.478,2010
179,HAT-P-22,b,Transit,1,3.21222,0.016,82,5302,1.04,1283,12.106,2010
180,HAT-P-23,b,Transit,1,1.21288287,0,393,5885,1.09,1951,13.72,2010
181,HAT-P-24,b,Transit,1,3.35524,0.067,396,6373,1.32,1637,13.922,2010
182,HAT-P-25,b,Transit,1,3.652836,0.032,297,5500,0.96,1202,13.339,2010
183,HAT-P-26,b,Transit,1,4.234516,0.124,134,5079,0.79,1001,6.333,2010
184,HAT-P-27,b,Transit,1,3.039577,0,204,5300,0.9,,11.43,2011
185,HAT-P-28,b,Transit,1,3.257215,0.051,395,5680,1.1,1384,13.585,2011
186,HAT-P-29,b,Transit,1,5.723186,0.095,322,6087,1.22,1260,12.408,2011
187,HAT-P-3,b,Transit,1,2.899736,0,138,5185,0.8,,9.27,2007
188,HAT-P-30,b,Transit,1,2.810595,0.035,193,6304,1.22,1630,15.02,2011
189,HAT-P-31,b,Transit,1,5.005425,0.245,354,6065,1.36,1450,11.99,2011
190,HAT-P-32,b,Transit,1,2.15000805,0.0072,283,6269,1.22,,20.053,2011
191,HAT-P-33,b,Transit,1,3.474474,0,387,6446,1.64,1782,18.898,2011
192,HAT-P-34,b,Transit,1,5.452654,0.441,257,6442,1.53,1520,13.417,2011
193,HAT-P-35,b,Transit,1,3.646706,0.025,535,6096,1.44,1581,14.93,2011
194,HAT-P-36,b,Transit,1,1.327347,0.063,317,5560,1.1,1823,14.168,2011
195,HAT-P-37,b,Transit,1,2.797436,0.058,411,5500,0.88,1271,13.204,2011
196,HAT-P-38,b,Transit,1,4.640382,0.067,249,5330,0.92,1082,9.247,2012
197,HAT-P-39,b,Transit,1,3.54387,0,642,6430,1.62,1752,17.609,2012
