"","key","star_name","planet_letter","discovery_method","pl_pnum","orbital_period","orbital_eccentricity","star_temp","star_radius","planet_temp","radius","discovery_year","light_years"
"103","GJ 1148_b","GJ 1148","b","Radial Velocity",2,41.38,0.38,NA,NA,NA,NA,2010,35.9750068
"104","GJ 1148_c","GJ 1148","c","Radial Velocity",2,532.58,0.342,NA,NA,NA,NA,2017,35.9750068
"105","GJ 1214_b","GJ 1214","b","Transit",1,1.58040456,NA,3170,0.18,NA,2.847,2009,42.237202
"106","GJ 163_b","GJ 163","b","Radial Velocity",3,8.63182,0.073,3500,NA,NA,NA,2013,48.8255532
"107","GJ 163_c","GJ 163","c","Radial Velocity",3,25.63058,0.099,3500,NA,NA,NA,2013,48.8255532
"108","GJ 163_d","GJ 163","d","Radial Velocity",3,603.95116,0.373,3500,NA,NA,NA,2013,48.8255532
"109","GJ 179_b","GJ 179","b","Radial Velocity",1,2288,0.21,3370,0.38,NA,NA,2009,39.5301072
"110","GJ 273_b","GJ 273","b","Radial Velocity",2,18.6498,0.1,3382,0.29,NA,NA,2017,12.393928
"111","GJ 273_c","GJ 273","c","Radial Velocity",2,4.7234,0.17,3382,0.29,NA,NA,2017,12.393928
"112","GJ 3021_b","GJ 3021","b","Radial Velocity",1,133.71,0.511,5540,0.9,350,NA,2000,57.4686872
"113","GJ 3138_b","GJ 3138","b","Radial Velocity",3,1.22003,0.19,3717,0.5,NA,NA,2017,92.8892288
"114","GJ 3138_c","GJ 3138","c","Radial Velocity",3,5.974,0.11,3717,0.5,NA,NA,2017,92.8892288
"115","GJ 3138_d","GJ 3138","d","Radial Velocity",3,257.8,0.32,3717,0.5,NA,NA,2017,92.8892288
"116","GJ 317_b","GJ 317","b","Radial Velocity",1,692,0.11,3510,NA,NA,NA,2007,49.249556
"117","GJ 328_b","GJ 328","b","Radial Velocity",1,4100,0.37,3900,NA,NA,NA,2013,65.3290468
"118","GJ 3293_b","GJ 3293","b","Radial Velocity",4,30.5987,0.06,3466,0.4,NA,NA,2015,51.4348012
"119","GJ 3293_c","GJ 3293","c","Radial Velocity",4,122.6196,0.11,3466,0.4,NA,NA,2015,51.4348012
"120","GJ 3293_d","GJ 3293","d","Radial Velocity",4,48.1345,0.12,3466,0.4,NA,NA,2017,51.4348012
"121","GJ 3293_e","GJ 3293","e","Radial Velocity",4,13.2543,0.21,3466,0.4,NA,NA,2017,51.4348012
"122","GJ 3323_b","GJ 3323","b","Radial Velocity",2,5.3636,0.23,3159,0.12,NA,NA,2017,17.3514992
"123","GJ 3323_c","GJ 3323","c","Radial Velocity",2,40.54,0.17,3159,0.12,NA,NA,2017,17.3514992
"124","GJ 3341_b","GJ 3341","b","Radial Velocity",1,14.207,0.31,3526,0.44,NA,NA,2015,75.5377296
"125","GJ 3470_b","GJ 3470","b","Radial Velocity",1,3.3366487,0.017,3652,0.48,604,3.88,2012,82.191312
"126","GJ 3634_b","GJ 3634","b","Radial Velocity",1,2.64561,0.08,NA,0.43,NA,NA,2010,64.578888
"127","GJ 3942_b","GJ 3942","b","Radial Velocity",1,6.905,0.121,3867,0.61,590,NA,2017,55.3160576
"128","GJ 3998_b","GJ 3998","b","Radial Velocity",2,2.64977,0,3722,0.49,NA,NA,2016,58.0231524
"129","GJ 3998_c","GJ 3998","c","Radial Velocity",2,13.74,0.049,3722,0.49,NA,NA,2016,58.0231524
