rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
11,2MASS J02192210-3925225,b,Imaging,1,,156,,,13.9,Mass,1.44,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,,,,3064,0.11,0.28,5/14/2015,2MASS J02192210-3925225 b,0,0,1,0,0,0,3.96E+03,,,,,,13.9,,4417.837,,4417.837,16.141,0.148,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806..254A target=ref>Artigau et al. 2015</a>,2015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806..254A target=ref>Artigau et al. 2015</a>,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,3,0,9,4,http://exoplanet.eu/catalog/2m_0219-39_b/,,2015-06,,,2.32280707,252.453768,-67.984453,13.508497,-49.30478,,,,,,,,,,10.6,6.6,M6,4.59,-2.23,,,,0.035,6.5,,,,,0,0,0,0,0,3,0,,,18.5,15.23,13.42,11.381,10.811,10.404,10.148,9.901,9.614,9.001,,,,,,,,,,,,10,,,,,,,,,,,0
12,2MASS J04414489+2301513,b,Imaging,1,,15,,,7.5,Mass,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,,,,0.02,,5/14/2014,2MASS J04414489+2301513 b,0,0,1,0,0,0,1.07E+02,,,,,,7.5,,2383.6,,2383.6,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>,2010,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,3,0,4,3,http://exoplanet.eu/catalog/2m_0441%2B23_b/,,2010-05,,,4.69580487,176.510593,-15.114249,72.050227,0.80244,,,,,,,,,,,6.85,M8.5,,,,,,0.001,,,,,,0,0,0,0,0,3,0,,,,,,14.419,13.726,13.161,,,,,,,,,,,,,,,,3,,,,,0.693,0.565,1.258,,,,3
13,2MASS J12073346-3932539,b,Imaging,1,,46,,,4,Mass,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.4,20.15,V (Johnson),,,0.02,,5/14/2014,2MASS J12073346-3932539 b,0,0,1,0,0,0,8.78E+02,,,,1150,,4,,1271,,1271,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...477L...1D target=ref> Ducourant et al. 2008 </a>,2004,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...425L..29C target=ref> Chauvin et al. 2004 </a>,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,3,0,9,7,http://exoplanet.eu/catalog/2m_1207-39_b/,,2004-10,,,12.12596313,293.790363,22.543297,199.743654,-35.034839,,,,,,,,,,,6.8,M8,,,,,,0.008,,,,,,0,0,0,0,0,3,0,,20.15,,,,12.995,12.388,11.945,11.574,11.017,9.469,8.121,,,,,,,,,,,,8,,,,,0.607,0.443,1.05,,,,3
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416,0.92,,,1.9,Mass,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,,12.264,Kepler-band,,,0.48,,6/4/2015,2MASS J19383260+4603591 b,0,0,0,0,0,1,,,,,,,1.9,,603.877,,603.877,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.146B target=ref>Baran et al. 2015</a>,2015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.146B target=ref>Baran et al. 2015</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,8,6,http://exoplanet.eu/catalog/2m_1938%2B46_b/,,2015-05,,,19.642391,79.018713,11.674389,314.709288,65.725374,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.757,12.889,12.955,12.862,12.92,12.67,9.203,,,,,,,,,,,,13,,,,,-0.132,-0.066,-0.198,,,,5
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,,0.26,46.2,20.95,Mass,0.92,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,,,,2300,0.08,0.12,5/14/2014,2MASS J21402931+1625183 A b,0,1,1,0,0,0,,,223,,2075,,20.95,,6657.48,,6657.48,10.31,0.09,,,,,,,,,<a href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>,2009,<a href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,3,0,11,4,http://exoplanet.eu/catalog/2m_2140+16_b/,,2010-03,,,21.6748106,70.485103,-26.437255,333.590507,28.526095,,,,,,,,,,13,6.85,M8.5,,-3.48,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.94,12.266,11.826,11.375,11.135,10.687,8.971,,,,,,,,,,,,7,,,,,0.674,0.44,1.114,,,,3
16,2MASS J22362452+4751425,b,Imaging,1,,230,,,12.5,Mass,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,12.51,V (Johnson),,4045,0.6,,11/10/2016,2MASS J22362452+4751425 b,0,0,1,0,0,0,3.11E+03,,,,,,12.5,,3972.875,,3972.875,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153...18B target=ref>Bowler et al. 2017</a>,2016,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153...18B target=ref>Bowler et al. 2017</a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,3,0,5,4,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,,,,,22.60681356,100.748288,-9.108906,6.858823,50.853569,,,,,,,,,,-21.5,5.7,K7 V,,,,,,0.12,,,,,,0,0,0,0,0,3,0,,12.51,13.73,,,9.975,9.338,9.148,9.058,9.094,8.947,8.731,,,,,,,,,,,,12,,,,,0.637,0.19,0.827,,,,3
17,30 Ari B,b,Radial Velocity,1,335.1,0.995,0.289,,9.88,Msini,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,,,6.938,6300,1.16,1.13,5/14/2014,30 Ari B b,1,1,0,0,0,0,2.52E+01,2454538,307,272,,,,9.88,,3140.03,3140.03,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...507.1659G target=ref> Guenther et al. 2009 </a>,2009,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...507.1659G target=ref> Guenther et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,28,23,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b,2009-12,HD 16232,HIP 12184,2.61603902,151.476148,-32.309491,44.567804,8.854811,25.36,21.42,46.68,142.6,-13.5,143.2,147.2,-12.4,147.7,17.2,3.6,F6 V,4.5,,,0.245,[Fe/H],0.91,38.3,,,29.86,,2,0,1,1,0,3,0,,,7.458,,,6.08,5.908,5.822,5.963,5.669,5.825,5.679,,,,,,,,4.62E+00,3.39E+00,1.18E+00,-1.03E+00,20,,0.496,,,0.172,0.086,0.258,0.332,0.163,0.39,8
18,4 UMa,b,Radial Velocity,1,269.3,0.87,0.432,,7.1,Msini,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.61,V (Johnson),,4415,1.23,18.11,5/14/2014,4 UMa b,0,1,0,0,0,0,1.12E+01,2452987.394,23.81,215.55,,,,7.1,,2256.5,2256.5,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..649D target=ref> Dollinger et al. 2007 </a>,2006,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..649D target=ref> Dollinger et al. 2007 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,19,17,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b,2007-09,HD 73108,HIP 42527,8.67022705,151.358914,35.9569,112.813312,44.028066,12.92,,,-56.1,25.9,61.8,,,,,5.1,K1 III,1.8,,,-0.25,[Fe/H],4.604,,0.124,,,,1,0,1,0,0,3,0,6.94,4.61,5.78,,,2.619,2.021,1.734,-0.342,0.1,1.817,1.755,,,,,,,,1.33E+00,1.35E+00,1.18E+00,-9.16E-01,19,1.16,1.17,,,0.598,0.287,0.885,,,,7
19,42 Dra,b,Radial Velocity,1,479.1,1.19,0.38,,3.88,Msini,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.82,V (Johnson),,4200,0.98,22.03,5/14/2014,42 Dra b,0,1,0,0,0,0,1.22E+01,2452757.4,218.7,110.5,,,,3.88,,1233.13,1233.13,,,,,,,,,,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...499..935D target=ref> Doellinger et al. 2009 </a>,2008,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...499..935D target=ref> Doellinger et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,19,17,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b,2009-06,HD 170693,HIP 90344,18.43309326,95.419171,27.125611,342.26709,87.183386,10.28,,,105.1,-26.9,108.5,,,,,5.15,K1.5 III,1.71,,,-0.46,[Fe/H],9.49,1,,,,,2,0,1,1,0,3,0,7.12,4.82,6.01,,,2.949,2.197,2.085,-0.152,0.372,2.022,1.892,,,,,,,,1.45E+00,1.66E+00,1.76E+00,-9.84E-01,19,1.11,1.19,,,0.752,0.112,0.864,,,,7
20,47 UMa,b,Radial Velocity,3,1078,2.1,0.032,,2.53,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,5.05,V (Johnson),,5892,1.03,1.23,5/14/2014,47 UMa b,0,1,0,0,0,0,1.49E+02,2451917,334,48.4,,,,2.53,,804.08,804.08,,,,,,,,,,,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,1996,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1996ApJ...464L.153B target=ref> Butler & Marcy 1996 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,59,41,http://exoplanet.eu/catalog/47_uma_b/,http://exoplanets.org/detail/47_UMa_b,1996-06,HD 95128,HIP 53721,10.99110413,175.782531,63.369127,149.069855,31.061608,71.04,,,-317.2,56.6,322.2,,,,11.1,4,G0 V,4.27,,,0,[Fe/H],7.3,2.9,0.154,-5.02,,,10,0,1,9,0,4,3,5.79,5.05,5.66,,,3.96,3.736,3.75,3.556,3.143,3.586,3.553,,,,,3.57E+00,3.47E+00,,3.13E+00,3.26E+00,1.18E+00,-9.16E-01,27,0.13,0.61,,,0.224,-0.014,0.21,0.392,0.199,0.355,11
